title,url,ranking
Great Commission,https://en.wikipedia.org/wiki/Great_Commission,201
Healing a man with dropsy,https://en.wikipedia.org/wiki/Healing_a_man_with_dropsy,202
Light of the World,https://en.wikipedia.org/wiki/Light_of_the_World,203
Matthias the Apostle,https://en.wikipedia.org/wiki/Matthias_the_Apostle,204
Mount of Transfiguration,https://en.wikipedia.org/wiki/Mount_of_Transfiguration,205
Parable of the Rich Fool,https://en.wikipedia.org/wiki/Parable_of_the_Rich_Fool,206
Parable of the Unforgiving Servant,https://en.wikipedia.org/wiki/Parable_of_the_Unforgiving_Servant,207
Restoration of Peter,https://en.wikipedia.org/wiki/Restoration_of_Peter,208
Samaritan woman at the well,https://en.wikipedia.org/wiki/Samaritan_woman_at_the_well,209
The Mote and the Beam,https://en.wikipedia.org/wiki/The_Mote_and_the_Beam,210
Zebedee,https://en.wikipedia.org/wiki/Zebedee,211
Lamp under a bushel,https://en.wikipedia.org/wiki/Lamp_under_a_bushel,212
Naked fugitive,https://en.wikipedia.org/wiki/Naked_fugitive,213
Parable of the Budding Fig Tree,https://en.wikipedia.org/wiki/Parable_of_the_Budding_Fig_Tree,214
Parable of the Hidden Treasure,https://en.wikipedia.org/wiki/Parable_of_the_Hidden_Treasure,215
Elizabeth - mother of John the Baptist,https://en.wikipedia.org/wiki/Elizabeth%2C_mother_of_John_the_Baptist,216
Eye of a needle,https://en.wikipedia.org/wiki/Eye_of_a_needle,217
Healing the blind near Jericho,https://en.wikipedia.org/wiki/Healing_the_blind_near_Jericho,218
James the Great,https://en.wikipedia.org/wiki/James_the_Great,219
Parable of the Growing Seed,https://en.wikipedia.org/wiki/Parable_of_the_Growing_Seed,220
The Tree and Its Fruits,https://en.wikipedia.org/wiki/The_Tree_and_Its_Fruits,221
Blind man of Bethsaida,https://en.wikipedia.org/wiki/Blind_man_of_Bethsaida,222
Coin in the fish's mouth,https://en.wikipedia.org/wiki/Coin_in_the_fish%27s_mouth,223
Confession of Peter,https://en.wikipedia.org/wiki/Confession_of_Peter,224
Denial of Peter,https://en.wikipedia.org/wiki/Denial_of_Peter,225
